"","hhid","hh_size","weight","weight_adj","rpc_tot_cons","pline_int_215","urban","cons_decile","province","closest_market","closest_hospital","closest_bank","closest_capital_city","closest_capital_city_linear","bdi_osm_dst_road_100m_2016","bdi_osm_dst_roadintersec_100m_2016","bdi_osm_dst_waterway_100m_2016","hhweight"
"1",100101,5,327.827005823877,329.656716003808,11343.919921875,10381.1357421875,0,6,1,2.41555537678691,1.67562101743269,39.1964605242438,43.2145375456045,32.8413348418268,0,0.0930000022053719,0,1639.13502911939
"2",100102,3,327.827005823877,329.656716003808,12774.185546875,10381.1357421875,0,7,1,2.37662647538456,1.63669211603034,39.1575316228414,43.1756086442022,32.8578935426485,0.0930000022053719,0.130999997258186,0.0930000022053719,983.481017471631
"3",100103,1,327.827005823877,329.656716003808,59577.2421875,10381.1357421875,0,10,1,2.16093685924348,1.42100249988927,38.9418420067004,42.9599190280611,32.7232494866131,0,0.186000004410744,0,327.827005823877
"4",100104,3,327.827005823877,329.656716003808,13961.6455078125,10381.1357421875,0,7,1,2.26472586090372,1.5247915015495,39.0456310083606,43.0637080297214,32.8341490814439,0.0930000022053719,0.130999997258186,0.0930000022053719,983.481017471631
"5",100105,5,327.827005823877,329.656716003808,8606.478515625,10381.1357421875,0,5,1,3.34186146285171,2.60192710349749,40.1227666103086,44.1408436316693,32.9031225342483,0.185000002384186,0.207000002264977,0.185000002384186,1639.13502911939
"6",100106,6,327.827005823877,329.656716003808,5497.8564453125,10381.1357421875,0,2,1,2.78382921117654,2.04389485182232,39.5647343586334,43.5828113799942,32.8787252510009,0.185000002384186,0.207000002264977,0.185000002384186,1966.96203494326
"7",100107,6,327.827005823877,329.656716003808,6170.923828125,10381.1357421875,0,3,1,2.33680982890086,1.59687546954664,39.1177149763577,43.1357919977185,32.7320519313695,0.185000002384186,0.333999991416931,0.207000002264977,1966.96203494326
"8",100108,4,327.827005823877,329.656716003808,8164.88134765625,10381.1357421875,0,4,1,2.6056641529984,1.86572979364419,39.3865693004553,43.404646321816,32.7236678887133,0.463000029325485,0.540000021457672,0.472000002861023,1311.30802329551
"9",100109,4,327.827005823877,329.656716003808,11604.15625,10381.1357421875,0,6,1,2.84082668870765,2.17368115677264,39.6945206635837,43.7125976849445,33.2232592161046,0,0.463000029325485,0.463999956846237,1311.30802329551
"10",100110,2,327.827005823877,329.656716003808,12791.404296875,10381.1357421875,0,7,1,3.47301857935684,2.80587304742183,40.3267125542329,44.3447895755937,33.1781146472709,0.0930000022053719,0.586000025272369,0.541000008583069,655.654011647754
"11",100201,6,191.747871330947,192.818079172038,8968.822265625,10381.1357421875,0,5,1,33.9002171651642,31.0972060158372,51.4242552088553,55.7261377036857,33.0440348463191,1.73099994659424,4.52299976348877,4.43800020217896,1150.48722798568
"12",100202,6,191.747871330947,192.818079172038,7366.54248046875,10381.1357421875,0,4,1,53.0474410962226,50.2444299468955,70.5714791399137,74.8733616347441,33.5071295689895,1.11099994182587,4.67999982833862,3.93099999427795,1150.48722798568
"13",100203,3,191.747871330947,192.818079172038,16333.763671875,10381.1357421875,0,8,1,53.0474410962226,50.2444299468955,70.5714791399137,74.8733616347441,33.5328253479991,0.648000001907349,4.35599994659424,3.71300029754639,575.243613992841
"14",100204,3,191.747871330947,192.818079172038,14048.58984375,10381.1357421875,0,7,1,24.3266051996351,21.523594050308,41.8506432433261,46.1525257381565,32.1962047071884,0,2.99699997901917,3.2260000705719,575.243613992841
"15",100205,8,191.747871330947,192.818079172038,9327.2451171875,10381.1357421875,0,5,1,53.4508416704997,51.3642277120896,80.1450911054429,84.4469736002733,33.8373114978187,0.555000007152557,4.16400003433228,3.4210000038147,1533.98297064758
"16",100206,3,191.747871330947,192.818079172038,10321.6552734375,10381.1357421875,0,6,1,43.8772297049705,41.7906157465604,77.9181107888971,82.2199932837275,33.7766372812478,0,3.52800035476685,3.24799990653992,575.243613992841
"17",100207,3,191.747871330947,192.818079172038,14267.4736328125,10381.1357421875,0,7,1,24.7300057739121,22.643391815502,58.7708868578387,63.0727693526691,34.2922519289753,0.723999977111816,2.81299996376038,2.69199991226196,575.243613992841
"18",100208,5,191.747871330947,192.818079172038,5954.2099609375,10381.1357421875,0,3,1,12.7015350396312,13.4198496250863,50.6184403622127,54.6365173835735,34.245557456923,1.13100004196167,2.34400010108948,2.65599989891052,958.739356654735
"19",100209,4,191.747871330947,192.818079172038,7415.01416015625,10381.1357421875,0,4,1,34.3036177394413,32.2170037810312,68.3444988233679,72.6463813181983,33.8008105917635,0.0930000022053719,3.35899996757507,3.24699997901917,766.991485323788
"20",100210,9,191.747871330947,192.818079172038,4296.3251953125,10381.1357421875,0,1,1,43.4738291306934,40.6708179813664,60.9978671743845,65.2997496692149,33.3969427846268,0,3.7720000743866,3.6230001449585,1725.73084197852
"21",100301,5,70.359097948049,70.7517951800624,4116.48193359375,10381.1357421875,0,1,1,6.53751828664015,6.11983269697063,35.1180116400342,39.136088661395,29.1816458287996,0.261999994516373,2.76600003242493,2.4909999370575,351.795489740245
"22",100302,8,70.359097948049,70.7517951800624,3119.5625,10381.1357421875,0,1,1,8.29591232806959,7.87822673840007,36.8764056814637,40.8944827028244,29.2140433101906,0.462999999523163,2.81900000572205,2.29500007629395,562.872783584392
"23",100303,9,70.359097948049,70.7517951800624,6406.20849609375,10381.1357421875,0,3,1,10.054306369499,9.6366207798295,37.6816712279202,41.6997482492809,29.0975548064349,0.523999989032745,3.01500010490417,2.24499988555908,633.231881532441
"24",100304,4,70.359097948049,70.7517951800624,4681.1259765625,10381.1357421875,0,2,1,9.28672737668248,8.86904178701295,35.9232771864907,39.9413542078515,28.9844711283365,0.414000004529953,3.1489999294281,2.39299988746643,281.436391792196
"25",100305,10,70.359097948049,70.7517951800624,5053.68505859375,10381.1357421875,0,2,1,7.52833333525303,7.11064774558351,34.1648831450613,38.1829601664221,28.9259656710961,0.414000004529953,3.1489999294281,2.39299988746643,703.59097948049
"26",100306,3,70.359097948049,70.7517951800624,19084.744140625,10381.1357421875,0,8,1,10.5480102596411,10.1303246699716,33.0646182393649,37.3665007341954,29.0648241525544,1.057000041008,1.66999995708466,0.592999994754791,211.077293844147
"27",100307,4,70.359097948049,70.7517951800624,12389.6943359375,10381.1357421875,0,7,1,11.3184098803669,10.9007242906974,32.5690945501378,36.8709770449682,29.0985704475774,0.926999986171722,1.57500004768372,0.462999999523163,281.436391792196
"28",100308,6,70.359097948049,70.7517951800624,7770.69189453125,10381.1357421875,0,4,1,22.269296738342,21.8516111486725,46.3570058037732,50.3750828251339,29.6084992430972,0.787000000476837,2.11199998855591,0.414000004529953,422.154587688294
"29",100309,9,70.359097948049,70.7517951800624,7654.7158203125,10381.1357421875,0,4,1,14.9766839800837,14.5589983904142,39.0643930455149,43.0824700668757,29.5489223980638,0.855000019073486,2.08999991416931,0.462999999523163,633.231881532441
