"","admin1Name","Direct","DirectLB","DirectUB"
"1","Bubanza",0.712049846581648,0.614675430567033,0.809424262596263
"2","Bujumbura Rural",0.573474449034467,0.489773738250631,0.657175159818304
"3","Bururi",0.59426356816243,0.47029650886936,0.718230627455499
"4","Cankuzo",0.627190952101597,0.518970583716903,0.735411320486292
"5","Cibitoke",0.593571936817169,0.519208159601548,0.667935714032791
"6","Gitega",0.522787992131371,0.460183845701292,0.58539213856145
"7","Karuzi",0.753264417028403,0.647404195188635,0.859124638868172
"8","Kayanza",0.526729010579982,0.438289923975919,0.615168097184045
"9","Kirundo",0.735786649285857,0.630945618948125,0.840627679623589
"10","Makamba",0.618921306240581,0.48643986514125,0.751402747339912
"11","Muramvya",0.789918853081952,0.669473225042861,0.910364481121042
"12","Muyinga",0.709209114788499,0.601510573988744,0.816907655588254
"13","Mwaro",0.607032912096506,0.503481107928259,0.710584716264753
"14","Ngozi",0.643120138814162,0.554651244898318,0.731589032730007
"15","Rutana",0.841904074262277,0.696196525968954,0.987611622555599
"16","Ruyigi",0.820514038728641,0.68088992012375,0.960138157333532
"17","Bujumbura Mairie",0.135796643379575,0.103213824349175,0.168379462409975
"18","Rumonge",0.613301810548142,0.508803150898621,0.717800470197662
