"","indicator","median","mean"
"1","HTA",0.199451314716779,0.21263238763201
"2","DesignEffect",0.0981853297037776,0.113302865689814
"3","EBP",0.0650233632439254,0.0693057508584275
"4","Percent Reduction in CV",51.0000787493105,63.4826320852651
