"","admin2Name","Direct_Head_Count","EBP_Head_Count","HT_Head_Count_CV","DesignEffect_CV","EBP_Head_Count_CV"
"1","Bubanza",0.754554357504275,0.679051685219159,0.119087011292875,0.0631832571122986,0.0424770085837681
"2","Gihanga",0.646807457191676,0.53197219322798,0.176599313607581,0.104562693922597,0.0873682389107075
"3","Mpanda",0.751847236882833,0.607928936378972,0.158262570597892,0.0720151759852607,0.0684426905340941
"4","Musigati",0.869609488431731,0.759368250517125,0.124178089753397,0.0320903880364704,0.0436551830413861
"5","Rugazi",0.814197458911295,0.685680892089367,0.164586435309799,0.0602834461310158,0.0551964106301963
"6","Isale",0.69153953227038,0.613563790940331,0.156342009187848,0.0707623417896606,0.0537847051482233
"7","Kabezi",0.713401829132279,0.649746872929917,0.210376087171758,0.114900466366887,0.0608680591446358
"8","Kanyosha1",0.575492946692183,0.579175228693138,0.182597696556503,0.117909427369693,0.0696071224319932
"9","Mubimbi",0.78263587428373,0.688148019523544,0.201569741477642,0.0766868630494633,0.0595316174303442
"10","Mugongomanga",0.589318227796885,0.563174873129184,0.313387022847918,0.190156014649114,0.0908493746316561
"11","Mukike",0.607261889501346,0.556685910554606,0.285234810300383,0.179399038427219,0.0805477266083025
"12","Mutambu",0.745587917497059,0.701840549037272,0.188904405958141,0.102141638054986,0.058452974903592
"13","Mutimbuzi",0.567137979847095,0.428061787445213,0.198720714854921,0.125923721803926,0.0981203425156644
"14","Nyabiraba",0.762708596645316,0.66935554107072,0.199471066549279,0.0870391416402458,0.065605176117715
"15","Bururi",0.674525664994503,0.529481095064457,0.181456706407064,0.0976012335221281,0.072713281580073
"16","Matana",0.480546824029862,0.54617094290908,0.313271644498348,0.242822803766887,0.103483724665522
"17","Mugamba",0.672485089916544,0.621749115489118,0.218545547441846,0.118724184983351,0.0744702227628766
"18","Rutovu",0.742022580093209,0.614976429489423,0.254178131129062,0.115440865989367,0.0860409893650914
"19","Songa",0.460188163602136,0.543919112492129,0.306915524560942,0.232924872131053,0.0936912524002024
"20","Vyanda",0.239292939342686,0.546109575345674,0.555439486197859,0.376593513878824,0.0998698626399249
"21","Cankuzo",0.652186439224222,0.6349013915747,0.180795231335416,0.0976680232028243,0.0493356691963625
"22","Cendajuru",0.818653193295141,0.718238606937553,0.209163226287958,0.0745919342916798,0.0669985941572097
"23","Gisagara",0.620531560904877,0.689300359419514,0.197783444032248,0.114787017750654,0.0532768087571192
"24","Kigamba",0.551239660342953,0.657951899563196,0.213250141019367,0.14325034929414,0.0594608245917188
"25","Mishiha",0.658724331676856,0.66894434685297,0.174124251993987,0.0936110554529965,0.0622632867440256
"26","Buganda",0.690650921001885,0.578819213692507,0.132999746315723,0.0731365652083882,0.0670126260147167
"27","Bukinanyana",0.773153056971328,0.766037381482543,0.13700736667884,0.0561797065002843,0.0356793632405762
"28","Mabayi",0.577991027173969,0.642410910402983,0.190651397264858,0.113575635197962,0.055701818114668
"29","Mugina",0.687253201741302,0.718652922697238,0.124459893642357,0.064276774593892,0.0393095390900365
"30","Murwi",0.805979866176382,0.78278539476812,0.120368123623583,0.0491588113627487,0.035288940952426
"31","Rugombo",0.470303832090186,0.497989249578055,0.189810511468376,0.147654754449147,0.0835344776933602
"32","Bugendana",0.715637523640604,0.636816851968386,0.135352939628663,0.0616832555501223,0.0563286103451901
"33","Bukirasazi",0.479845671231215,0.539703779187555,0.26992873478008,0.190442521838811,0.0977045984746406
"34","Buraza",0.69602855339959,0.557559884228075,0.193082321116688,0.097516653133275,0.0814990847117303
"35","Giheta",0.591331717376361,0.584852408143906,0.173173396499248,0.117064358294692,0.0716613381066827
"36","Gishubi",0.576881374106275,0.514447896803929,0.210944823401216,0.14502381108685,0.0901253746512049
"37","Gitega",0.466270384067564,0.457067668899347,0.131587300396135,0.115137562939464,0.0748746541770701
"38","Itaba",0.627523021988348,0.630133047123125,0.21570936450834,0.121350144789245,0.0772734800686062
"39","Makebuko",0.614426141740127,0.574705136642657,0.293931915185086,0.159239750674853,0.082387430994406
"40","Mutaho",0.565301797356543,0.547159944163081,0.179932654716967,0.093960300595505,0.0887544779615595
"41","Ryansoro",0.740543012755839,0.565684313886737,0.246204704289817,0.108238811350329,0.103650764881935
